Timestamp,Level,Message,Severity,Occurrence Count,Root Cause
2026-08-10 09:15:22,INFO,Application started successfully,NORMAL,1,Root cause requires further investigation
2026-08-10 09:16:10,INFO,User login successful user_id=101,NORMAL,1,Root cause requires further investigation
2026-08-10 09:17:45,WARNING,Database response time exceeded threshold,WARNING,1,Root cause requires further investigation
2026-08-10 09:18:02,ERROR,Database connection failed,CRITICAL,3,Database connectivity issue
2026-08-10 09:20:12,INFO,Database connection restored,NORMAL,1,Database connectivity issue
2026-08-10 09:21:30,WARNING,High memory usage detected,WARNING,1,Root cause requires further investigation
2026-08-10 09:22:01,ERROR,Payment service timeout,CRITICAL,2,Service response timeout
2026-08-10 09:25:40,INFO,Payment service recovered,NORMAL,1,Root cause requires further investigation
2026-08-10 09:26:10,INFO,Application running normally,NORMAL,1,Root cause requires further investigation
2026-08-11 16:30:00,ERROR,Payment service unavailable,CRITICAL,1,Root cause requires further investigation
2026-08-11 16:45:00,ERROR,Authentication failed for user,CRITICAL,1,Authentication failure
